Query,Description,Target endpoint,Federated endpoints,Real world relevance or background of the query,Is this query a toy example?,Are there any tricks to make the query executable?,Is this query similar to another query?,Known Problems,Query alias
https://sparql.uniprot.org/.well-known/sparql-examples/92_uniprot_bioregistry_iri_translation,Translate the global unique identifier for a UniProtKB record into other options using the bioregistry translating endpoint.,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://bioregistry.io/sparql",-,-,-,-,no,92-bioregistry-xref
https://sparql.uniprot.org/.well-known/sparql-examples/51,Find all proteins linked to arachidonate (CHEBI:32395),https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql","Drug targets, enzymatic activity",no,oder of query elements,-,no,-
https://sparql.uniprot.org/.well-known/sparql-examples/45,Retrieve drugs that target human enzymes involved in sterol metabolism (federated query with WikiData and Rhea).,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.uniprot.org/sparql/, https://query.wikidata.org/sparql","See comment, but example query of finding key drug targets",no,-,-,no,-
https://sparql.uniprot.org/.well-known/sparql-examples/46,Retrieve images of 'Anas' (Ducks) from the European Environmental Agency databases (federated query).,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://semantic.eea.europa.eu/sparql",TOY: Link proteome to bioome and red-lists,"yes, as the real interest is not duck images ;)",-,-,no,-
https://sparql.uniprot.org/.well-known/sparql-examples/52,Retrieve drugs that target human enzymes involved in sterol metabolism (federated query with Rhea and ChEMBL via IDSM/Elixir czech republic).,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.uniprot.org/sparql/, https://idsm.elixir-czech.cz/sparql/endpoint/idsm","Drug target search, with real experiments",no,-,"yes, 51"" https://sparql.uniprot.org/.well-known/sparql-examples/uniprot_transporter_in_liver,""Find human transporter proteins in reviewed UniProtKB, that are expressed in the liver (Uses Bgee and UBERON).",no,-
https://sparql.uniprot.org/.well-known/sparql-examples/40,Retrieve human enzymes that metabolize sphingolipids and are annotated in ChEMBL,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql",Find enzymes that break down drugs that are a category of lipids,no,-,-,no,-
https://sparql.uniprot.org/.well-known/sparql-examples/53,Find mouse homologs in OMABrowser of human enzymes that catalyze reactions involving Sterols (CHEBI:15889). Federating with Rhea-DB and OMABrowser.,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.uniprot.org/sparql/, https://sparql.omabrowser.org/sparql",Expands query 40 to other species,no,-,"yes, 40"" https://sparql.uniprot.org/.well-known/sparql-examples/36,""Find the orthologous proteins for UniProtKB entry P05067 using the <a href=""http://www.orthod.org"">OrthoDB database</a>",yes,-
https://sparql.uniprot.org/.well-known/sparql-examples/99_uniprot_identifiers_org_translation,Translate a selection of UniProtKB accession numbers into other options using the identifiers.org translating endpoint.,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.api.identifiers.org/sparql",-,-,-,-,no,99-identifiers-xref
https://sparql.uniprot.org/.well-known/sparql-examples/36,"Find the orthologous proteins for UniProtKB entry P05067 using the <a href=""http://www.orthod.org"">OrthoDB database</a>",https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.orthodb.org/sparql",-,-,-,-,no,-
https://sparql.uniprot.org/.well-known/sparql-examples/50,"Where are the human genes encoding enzymes metabolizing N-acyl sphingosines expressed in the human body (federated query, with Rhea and Bgee)",https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.uniprot.org/sparql/, https://www.bgee.org/sparql","Find enzymes that are in specific tissues, again related to some diseases",no,-,-,yes,-
